問題ID,分野,問題文,画像,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,解説画像
235,ストラテジ系,ある商品の前期，当期2期分の売上高と総費用は表のとおりである。この商品の1期間の固定費は何千円か。ここで，総費用は固定費と変動費の合計であり，固定費，及び売上高に対する変動費の割合は，前期，当期ともに変わらないものとする。,235qa.png,"2,400","3,000","3,600","4,000",2,"総費用は固定費と変動費の合計です。このうち変動費は、売上の増加に伴って増加していく性質を持つ費用で、以下の式で求めることができます。

　変動費＝売上高×変動費率

この設問では2期の「固定費および変動費率は一定」という条件があるため、固定費をa、変動費率をbとした連立方程式によって固定費(a)の金額を導きます。

　a＋10,000b＝9,000 //①前期
　a＋11,000b＝9,600 //②当期

ここでは、aを求めたいのでbの係数を合わせるために①の式を1.1倍します。

　1.1a＋11,000b＝9,900
　a＋11,000b＝9,600

　0.1a＝300
　a＝3,000(千円)

以上より、固定費は3,000千円とわかります。よって「2」が正解です。",
236,テクノロジ系,"ISMSの運用にPDCAモデルを採用している組織において，サーバ監視に関する次の作業を実施する。各作業とPDCAモデルの各フェーズの組合せとして，適切なものはどれか。

〔作業〕
　（１）サーバ監視の具体的な目的及び手順を定める。
　（２）サーバ監視の作業内容を第三者が客観的に評価する。
　（３）定められている手順に従ってサーバを監視する。
　（４）発見された問題点の是正処置として，サーバの監視方法を変更する。",236qa.png,ア,イ,ウ,エ,3,"PDCAは、Plan(計画)・Do(実行)・Check(点検・監査)・Act(見直し・改善)の各フェーズの略で、この一連の流れを繰り返すことでシステムの維持・改善に努める活動をいいます。

ISMS（情報セキュリティマネジメントシステム）のPDCAで行うべき作業は以下のとおりです。
　・Plan（計画）
　　・リスクアセスメントの実施
　　・情報セキュリティポリシーの策定　など
　・Do（実行）
　　・情報セキュリティポリシーに基づく対策の実施
　　・セキュリティ教育の実施　など
　・Check（点検・評価）
　　・対策の実施状況の監視・評価　など
　・Act（見直し・改善）
　　・情報セキュリティポリシーの見直し
　　・問題の是正・改善　など
(1)～(4)の各作業はPCDAと次のように対応します。
　（１）ISMSを運用するためのポリシーやセキュリティ規程、運用手順、業務マニュアルの策定は、Planの段階で行います。
　（２）ISMSの運用状況の評価は、Checkの段階で行います。
　（３）運用ルールに従ったセキュリティ対策の実施は、Doの段階で行います。
（４）CHeckでの評価を受けた運用ルールの見直しは、Actionの段階で行います。
　Pが(1)、Dが(3)、Cが(2)、Aが(4)なので、適切な組合せは「3」です。",
237,テクノロジ系,DNSの説明として，適切なものはどれか。,,IPネットワークに接続しようとするコンピュータに，IPアドレスなどを自動的に割り当てるプロトコルである。,ブラウザとWebサーバ間の通信を暗号化して，セキュリティを高めるために利用されるプロトコルである。,ホスト名やドメイン名と，IPアドレスを対応付ける仕組みである。,ホスト名やドメイン名と，MACアドレスを対応付ける仕組みである。,3,"DNS(Domain Name System)は、ドメイン名・ホスト名とIPアドレスを対応付けて、名前解決する仕組みです。

TCP/IPを利用したネットワークでは、各ノードを識別するため一意のIPアドレスが割り当てられています。実際にコンピュータ同士が通信を行う際にはIPアドレスで通信相手を指定しますが、IPアドレスは数字の羅列で人間にとって覚えにくいため、別名としてドメイン名・ホスト名が付けられています。DNSはIPアドレスと対応するドメイン名の関係を保持し、要求に応じて相互変換する機能をもちます。",237exp.png
238,テクノロジ系,アンチパスバック方式はIDの状態を記録し，入室済みのIDでの再入室，退室済みのIDでの再退室を規制するものである。IDカードを用いた入退室管理システムを導入した部屋の利用制限について，アンチパスバック方式を導入することで実現できることはどれか。,,定められた期間において，入退室回数が一定の回数を超えると入室できなくする。,他人の入室に合わせて，共連れで入室すると，自分のIDカードを使用しての退室をできなくする。,当日出社していない同僚から借りたIDカードを使用しての入室をできなくする。,入室してから一定時間経過すると退室できなくする。,2,"アンチパスバック方式は、共連れなどによる不正な入退室を防止するための方法で、利用者IDごとに入退室の時刻を記録することで、以下のような矛盾がある入退室行動を制限します。
　（１）直近の記録が入室である利用者の入室行動
　（２）直近の記録が退室である、または入室記録がない利用者の退室行動
もちろん通常の利用であれば入室と退室はペアになっているため、このような矛盾は生じません。しかし「他人が入室する際に一緒に入室してしまう」若しくは「他人が退室するのとすれ違いに入室する」などの共連れ行為で入室した利用者はアンチパスバック方式により正当な方法での退室が禁止されます（※入室制限も同様）。
ただし、この方式で防止できる行為は矛盾のある入退室だけであるため、「他人のIDを使用した入退室」「入退室の両方を共連れで行う」などの行為は規制の対象外です。",
239,マネジメント系,情報システムの安全性を維持・保全するための施策のうち，情報システム設備の施策に該当するものはどれか。,,自家発電装置を設置する。,データのバックアップを取得する。,定時に自動的にコンピュータが起動する機能を設ける。,ネットワークを流れるデータを暗号化する。,1,"設問で求められているのは、コンピュータやネットワークなどの情報システム設備の安全性を維持・保全するための施策なので、電源や回線の冗長化、バックアップ環境の整備、電源、空調設備、建物などのアクセス管理などの施策が該当します。

具体的には、システムが設置されている施設に対して次のようなものを設置することで設備の安全性を確保します。
　・免振装置や適切な防火設備を設置し災害に備える
　・UPSや自家発電設備，サージ防護を設置し停電に備える
　・持ち出し可能な情報機器にセキュリティワイヤを取付け盗難に備える
　・空調設備を備えた部屋に情報システム設備を設置する
　選択肢中、設備の安全性を高める施策は「1」のみです。その他はデータの安全性を高める施策になります。",
240,ストラテジ系,技術を理解している者が企業経営について学び，技術革新をビジネスに結びつけようとする考え方はどれか。,,JIT,MOT,OJT,TQM,2,MOT(Management of Technology)は、技術経営とも呼ばれ、技術開発や継続なイノベーションの成果によって事業利益を獲得することを目的とした経営手法です。,
241,テクノロジ系,図のような構成の二つのシステムがある。システムXとYの稼働率を同じにするためには，装置Cの稼働率を幾らにすればよいか。ここで，システムYは並列に接続した装置Bと装置Cのどちらか一つでも稼働していれば正常に稼働しているものとし，装置Aの稼働率を0.8，装置Bの稼働率を0.6とする。,241qa.png,0.3,0.4,0.5,0.6,3,"稼働率Rの2つの装置が並列に接続されているシステムの稼働率は、

　1－(1－R)(1－R)

で計算することができるので、装置Cの稼働率をR'とするとシステムYの稼働率は、

　1－(1－0.6)(1－R')

の式で表すことができます。

この式が表す稼働率とシステムXの稼働率(0.8)が等しくなればよいので方程式でR'を計算します。

　1－(1－0.6)(1－R')＝0.8
　1－(1－R'－0.6＋0.6R')＝0.8
　1－1＋R'＋0.6－0.6R'＝0.8
　0.4R'＋0.6＝0.8
　0.4R'＝0.8－0.6
　0.4R'＝0.2
　R'＝0.5

よって装置Cの稼働率が0.5であれば両方のシステムの稼働率が等しくなることが分かります。",
242,テクノロジ系,PCのプロセッサ内にあるキャッシュメモリの利用目的はどれか。,,PCへの電力供給が切れた状態でも記憶内容を保持する。,書き換える必要のない情報や，書き換えられては困る情報を記録する。,主記憶とのアクセス時間を見かけ上短縮することによって，CPUの処理効率を高める。,利用者IDやパスワードなどの重要情報や機密情報を記録する。,3,キャッシュメモリとは、CPUと主記憶の間に置かれる高速にアクセスできる記憶装置です。必要なデータがあるとコンピュータはまずキャッシュメモリにデータがあるかを探します。キャッシュメモリにない場合には主記憶上のデータを参照します。最近は1次キャッシュ、2次キャッシュというように複数のキャッシュが搭載されているパソコンがほとんどです。●次というのはデータが探索される順番を表しています。,
243,テクノロジ系,SSLに関する記述のうち，適切なものはどれか。,,Webサイトを運営している事業者がプライバシーマークを取得していることを保証する。,サーバのなりすましを防ぐために，公的認証機関が通信を中継する。,通信の暗号化を行うことによって，通信経路上での通信内容の漏えいを防ぐ。,通信の途中でデータが改ざんされたとき，元のデータに復元する。,3,"SSL(Secure Sockets Layer)は、通信の暗号化，デジタル証明書を利用した改ざん検知，ノード認証を含む統合セキュアプロトコルです。
OSI基本参照モデルのトランスポート層で動作するので, 新規にソフトウェアをインストールすることなく上位のアプリケーション層プログラムからも意識せずに利用することが可能です。",
244,マネジメント系,プロジェクトマネージャが行うプロジェクト関係者とのコミュニケーションに関する記述のうち，最も適切なものはどれか。,,どのような報告をいつ，だれに対してどのような方法で行うか，プロジェクトの開始時点で決めておく。,発注者にプロジェクトの進捗報告を行うときは，開発担当者が作成した進捗報告をそのまま使用する。,プロジェクトチームのメンバーとのコミュニケーションは，連絡の迅速性を重視して口頭で行う。,プロジェクトの規模にかかわらず，定期的にプロジェクト内外の関係者全員を集めた進捗状況確認の会議を開催する。,1,プロジェクトの計画時に作成される「コミュニケーションマネジメント計画書」で、誰が、誰に、いつ、どのような情報をどのような手段で提供するかを明示します。,
245,ストラテジ系,製造業において利用されているCADの説明として，適切なものはどれか。,,製品の生産計画に合わせて必要な資材の所要量を求め，資材の手配を行う。,製品の製造に必要な部品や中間製品，所要量などの情報を管理する。,製品の設計図や部品表など，設計から製造に関する情報を一元管理する。,製品の設計にコンピュータを利用し，設計作業の生産性や信頼性の向上を図る。,4,"CAD(Computer Aided Design)は、コンピュータ支援設計とも呼ばれ、コンピュータを用いて設計をすること、またはその設計システムのことです。
設計図がデジタルデータであるメリットを活用し、様々な設計現場で設計作業や図面管理の効率化・迅速化に寄与してます。",
246,ストラテジ系,人工知能の活用事例として，最も適切なものはどれか。,,運転手が関与せずに，自動車の加速，操縦，制動の全てをシステムが行う。,オフィスの自席にいながら，会議室やトイレの空き状況がリアルタイムに分かる。,銀行のような中央管理者を置かなくても，分散型の合意形成技術によって，取引の承認を行う。,自宅のPCから事前に入力し，窓口に行かなくても自動で振替や振込を行う。,1,"人工知能(AI)は、人間の脳が司る知性・知能をコンピュータシステム上に構築したものです。究極的に言えば「人間のように考えるコンピュータ」と捉えられます。人間の脳が持つ認知・判断などの知的振る舞いを人工的な仕組みでシミュレートし、そのシステムを様々な分野に利活用することを目指す研究分野です。
以前からこの研究分野は存在しましたが、ディープラーニングの登場により実用レベルの高精度の人工知能をつくる方法が確立されつつあります。今後さまざまな分野で実用化されていくことでしょう。

人工知能の特徴として、与えられた情報をもとにシステムが最適な解を自動で導くことが挙げられます。自動車の自動運転では、車両に付けられたカメラやセンサー類から画像情報・音声情報を取得し、車両の運行状況・位置情報などを踏まえて現在の車両の置かれた状況を判断します。その上で、今後起こり得る状況を予測し、安全を保つために最適な車両の制御を行います。このように、自動運転ではシステムが時と場合を識別し、最適な判断を行うので人工知能の活用事例となります。",
247,テクノロジ系,社内に設置された無線LANネットワークに接続している業務用のPCで，インターネット上のあるWebサイトを閲覧した直後，Webブラウザが突然終了したり，見知らぬファイルが作成されたりするなど，マルウェアに感染した可能性が考えられる事象が発生した。このPCの利用者が最初に取るべき行動として適切なものはどれか。,,Webブラウザを再インストールする。,マルウェア対策ソフトのマルウェア定義ファイルを最新にする。,無線LANとの通信を切断し，PCをネットワークから隔離する。,無線通信の暗号化方式を変更する。,3,コンピュータがマルウェアに感染した可能性を認識したとき、最初に取るべき行動は、接続しているネットワークを介して他のコンピュータに被害が広がらないように、感染が疑われるコンピュータをネットワークから切り離すことです。有線LANであればLANケーブルを物理的に取り外しますが、無線LANではケーブルがないのでWi-Fiを切るなどして無線ネットワークに接続できないようにします。その後、上長やセキュリティ管理者に連絡して指示を仰ぐのが適切な対処と言えます。,
248,ストラテジ系,ある資材を三つの工場A，B，Cに配分して，製品を生産している。資材の配分個数に応じた工場の利益は表のとおりである。合計4個の資材を工場に配分することによって得られる最大の利益は，何百万円か。,248qa.png,8,9,10,11,3,"資材4個の配分の仕方には以下の4つの組合せが考えられます。
　・1つの工場に4つの資材を配分する
　・1つの工場に3つの資材を配分し、別の工場に残り1つを配分する
　・1つの工場に2つの資材を配分し、別の工場に残り2つを配分する
　・1つの工場に2つの資材を配分し、別の2つの工場に1つずつを配分する
　3つの工場についてこれらの全組合せを考えれば良いことになりますが、結構な数を検証しなければなりません。そこで少し計算を簡略化できないかという目線で設問の図を見ると、B工場は、A工場およびC工場と比較してどの配分個数の場合でも利益が劣っていることがわかります。このため利益の最大化を図るためには、B工場に配分してはいけないということが自ずと判断できます。

したがって、B工場への配分数は0とし、4つの資材をA工場とCの工場に配分する場合の組合せを考えていきます。
　・A工場に4個 … 8百万円
　・C工場に4個 … 8百万円
　・A工場に3個、C工場に1個 … 10百万円
　・A工場に1個、C工場に3個 … 8百万円
　・A工場に2個、C工場に2個 … 9百万円
　したがって最大利益は、A工場に3個、C工場に1個を配分したときに得られる10百万円となります。",248exp.png
249,ストラテジ系,マーケティングミックスの検討に用いる考え方の一つであり，売り手側の視点を分類したものはどれか。,,4C,4P,PPM,SWOT,2,"マーケティングミックスとは、企業がマーケティング戦略において、目標とする市場から期待する反応を得るために、種類の異なるマーケティング要素を組み合わせることです。

マーケティングミックスのフレームワークとしては、売り手側の視点である「4P理論」と、買い手側の視点である「4C理論」がよく知られていて、4Pと4Cの項目はそれぞれ以下のように対応しています。",249exp.png
250,マネジメント系,コンピュータシステムが稼働しているサーバ室への侵入リスクを低減するために，コンピュータの設置場所を示す標識を出さないことにした。この対策が当てはまるマネジメン卜はどれか。,,サプライチェーンマネジメント,ナレッジマネジメント,ビジネスコンティニュイティマネジメン卜,ファシリティマネジメン卜,4,"ファシリティマネジメン卜(Facility Management)は、社会の変化と新しい企業環境に対応して、経営的視点に立って建築等の施設・設備類を有効・適切に計画・整備・運営・管理する取組みです。
情報システムへの被害は企業の基幹業務に影響することになりかねないので、人的脅威はもちろん、自然災害や事故に対しても適切な対策を行うことが重要であると考えられています。",
251,テクノロジ系,Webサーバでクライアントからの要求に応じて適切なプログラムを動作させるための仕組みにCGI がある。CGIを経由して実行されるプログラムを作成できるスクリプト言語はどれか。,,CASL,Fortran,Perl,SQL,3,Perl(パール)は、Larry Wall氏によって開発されたテキストやファイル処理に適したプログラム言語です。現在は以前ほどたくさんの場面で使用されているわけではないのですが、テキスト処理に向いているためユーザーからの入力データやHTMLを処理するWebアプリケーション開発に使われます。,
252,ストラテジ系,金融機関では，同一の顧客で複数の口座をもつ個人や法人について，氏名又は法人名，生年月日又は設立年月日，電話番号，住所又は所在地などを手掛かりに集約し，顧客ごとの預金の総額を正確に把握する作業が行われる。このように顧客がもつ複数の口座を，顧客ごとに取りまとめて一元管理する手続を表す用語として，最も適切なものはどれか。,,アカウントアグリゲーション,キーマッピング,垂直統合,名寄せ,4,名寄せは、元来、金融機関において同一顧客の各種取引口座を一元管理する手続きを指します。現代では広い意味で使われており、広義の名寄せは、データベース中の同じ属性のデータをひとつのデータに取りまとめる作業という意味で使われています。データベースから顧客ごとの購入額を集計したり、システム統合の際にデータを統合する場面で使われる言葉です。,
253,テクノロジ系,ブログのサービスで使用されるRSSリーダーが表示する内容として，最も適切なものはどれか。,,ブログから収集した記事の情報,ブログにアクセスした利用者の数,ブログに投稿した記事の管理画面,ブログ用のデザインテンプレート,1,RSSは、ブログやニュースサイト、電子掲示板などのWebサイトで、効率の良い情報収集や情報発信を行うために用いられている文書フォーマットの総称です。ページの見出しや要約、更新時刻などの記事に関するメタデータを、XMLベースの構造化データとして記述します。指定したWebサイトを定期的に巡回することでRSSを取得し、新着情報を見やすく一覧表示するソフトウェアが「RSSリーダー」です。,253exp.png
254,テクノロジ系,セキュリティに問題があるPCを社内ネットワークなどに接続させないことを目的とした仕組みであり，外出先で使用したPCを会社に持ち帰った際に，ウイルスに感染していないことなどを確認するために利用するものはどれか。,,DMZ,IDS,検疫ネットワーク,ファイアウォール,3,検疫ネットワークは、社外から持ち込まれたノートPCなど、ウィルス感染の可能性がある端末が社内のネットワークに接続しようとするときに、一旦、社内のネットワークとは別の検査専用ネットワークに接続させ、そこで安全を確認してから社内のネットワークへの接続を許可する仕組みです。,
255,テクノロジ系,ベンチマークテストに関する記述として，適切なものはどれか。,,システム内部の処理構造とは無関係に，入力と出力だけに着目して，様々な入力条件に対して仕様どおりの出力結果が得られるかどうかを試験する。,システム内部の処理構造に着目して，分岐条件や反復条件などを網羅したテストケースを設定して，処理が意図したとおりに動作するかどうかを試験する。,システムを設計する前に，作成するシステムの動作を数学的なモデルにし，擬似プログラムを用いて動作を模擬することで性能を予測する。,標準的な処理を設定して実際にコンピュータ上で動作させて，処理に掛かった時間などの情報を取得して性能を評価する。,4,ベンチマークテストは、システムの使用目的に合わせたプログラム、あるいは評価対象業務の典型的な処理プログラムを実行し、入出力や制御プログラムを含めたシステムの総合的な処理性能を測定する性能評価手法です。プロセッサの性能を評価する「SPEC」や、オンライントランザクションの処理性能を測る「TPC」などがあります。,
256,ストラテジ系,ロングテールに基づいた販売戦略の事例として，最も適切なものはどれか。,,売れ筋商品だけを選別して仕入れ，Webサイトにそれらの商品についての広告を長期間にわたり掲載する。,多くの店舗において，購入者の長い行列ができている商品であることをWebサイトで宣伝し，期間限定で販売する。,著名人のブログに売上の一部を還元する条件で商品広告を掲載させてもらい，ブログの購読者と長期間にわたる取引を継続する。,販売機会が少ない商品について品ぞろえを充実させ，Webサイトにそれらの商品を掲載し，販売する。,4,"ロングテールは、膨大な商品を低コストで扱うことができるインターネットを使った商品販売において、実店舗では陳列されにくい販売機会の少ない商品でも、それらを数多く取りそろえることによって十分な売上を確保できることを説明した経済理論です。

インターネット販売では従来の小売店販売面積の制約に縛られず、商品をデータベースに登録するだけで膨大な商品点数を揃えることが可能です。この商品点数の多さを活かし、小さいけれども確かにある販売機会を大量に集めることで、実店舗では実現不可能部分で大きな売上が生じるという現象が起こります。

このようなビジネスモデルを説明するときに使われるのがロングテール理論です。

名前の由来ですが、販売数を縦軸にとり商品を横軸にして、売上額が多い商品順に並べたパレート図を作成すると、販売機会の少ない商品群が低く状態で右に延びた形状になります。この右に延びた部分が、恐竜の尻尾(tail)のような見た目であることから「ロングテール」と呼ばれています。",256exp.png
257,テクノロジ系,"電子メールに関する記述として，適切なものだけを全て挙げたものはどれか。
　a.電子メールのプロトコルには，受信にSMTP，送信にPOP3が使われる。
　b.メーリングリストによる電子メールを受信すると，その宛先には全ての登録メンバーのメールアドレスが記述されている。
　c.メール転送機能を利用すると，自分名義の複数のメールアドレス宛に届いた電子メールを一つのメールボックスに保存することができる。",,a,"a, c",b,c,4,"　a.誤り。記述とは逆で、受信にはPOP3、送信・転送にはSMTPが使われます。
　b.誤り。メーリングリストは、電子メールをメーリングリスト用の特定のアドレスに送信すると、送信先リストに登録されているメンバー全員に同じ内容のメールが同時に転送される仕組みです。メーリングリストでは、送信リストの全員にToまたはBccで送信するので、受信メールには他の登録者のメールアドレスは記述されていません。
　c.正しい。メール転送は、自分の管理するメールアドレス宛に送られてきたメールを、そっくりそのまま別のメールアドレス宛に送ることです。自動転送の設定をすることで、複数のメールアドレスで受信したメールを1つのメールボックス（メールアカウント）に集約できます。",257exp.png
258,ストラテジ系,技術と経営の両面に精通し，組織横断的な事業推進能力を兼ね備えた人材を育成するプログラムが大学などの教育機関で開講されている。このような教育プログラムの背景にある，技術に立脚する事業を行う組織が，技術がもつ可能性を見極めてイノベーションを創出し，経済的価値の最大化を目指す経営の考え方を表すものとして，最も適切なものはどれか。,,BPR,CSR,HRM,MOT,4,"MOT(Management Of Technology)は、技術経営とも呼ばれ、技術開発の成果によって事業利益を獲得することを目的とした経営手法です。イノベーションの創出を経営の立場から推進し、技術資産を豊富に蓄えることで市場における競争力を強化し、事業の持続的な発展を目指します。

設問中の「イノベーションを創出」「経営の考え方」などの語句からMOTであると判断できます。",
259,マネジメント系,ITサービスマネジメントにおけるITサービス継続性管理とは，災害などの発生時にビジネスへの悪影響を最小限にするための活動である。ITサービス継続性管理においてPDCAサイクルのA(Act)に該当するものはどれか。,,ITサービスを継続するための復旧方法などを定めた復旧計画書を策定する。,災害の発生を想定して，要員に対する定期的な教育や訓練を実施する。,復旧計画の内容についてレビューやテストを実施して検証する。,レビューやテストの実施結果に基づいて，必要であれば復旧計画書を見直す。,4,"PDCA(Plan，Do，Check，Act)は、業務プロセスの管理手法の1つで、Plan(計画)→Do(実行)→Check(評価)→Act(見直し・改善)の4段階を繰り返すことによって、業務を継続的に改善していく手法です。PDCAは、各種のマネジメント手法に取り入れられています。

　・Plan（計画）
　従来の実績や将来の予測などをもとにして計画を作成する。
　・Do（実行）
　計画に沿って業務を行う。
・Check（点検・評価）
　業務の実施が計画に沿っているかどうかを確認する。
　・Act（見直し・改善）
　計画どおりに実施されていない部分を調べて処置をする。",259exp.png
260,マネジメント系,システム開発会社A社はB社の販売管理システムの開発を受注した。A社はシステム要件をネットワーク機器などのハードウェアで実現するものと，業務プログラムなどのソフトウェアで実現するものに割り振っている。現在A社はどの工程を実施しているか。,,システム方式設計,システム要件定義,ソフトウェア方式設計,ソフトウェア要件定義,1,"設計工程における4つの工程ではそれぞれ次のような作業を実施します。
　・システム要件定義
システムに求められる要件を明らかにするために、開発するシステムの具体的な利用方法について分析し、システムの機能や能力、安全性やセキュリティ、システムテストの項目などを決定する。
　・システム方式設計
定義されたシステム要件をハードウェア、ソフトウェア、手作業で実現する品目に割りふることでシステムをどのような方式で実現するかを決定する。
　・ソフトウェア要件定義
ソフトウェアの機能・能力、安全性仕様、データ及びデータベース要件、ソフトウェアテストの項目などを決定する。
　・ソフトウェア方式設計
定義されたソフトウェア要件をコンパイル及びテストを行うソフトウェアユニットのレベルに細分化し、プログラミングができる状態までの設計を行う。また単体，結合テストの項目などを決定する。
つまり現在のA社の工程は「システム方式設計」であるということになります。",
261,テクノロジ系,"A社では，従業員の利用者IDとパスワードを用いて社内システムの利用者認証を行っている。セキュリティを強化するために，このシステムに新たな認証機能を一つ追加することにした。認証機能a～cのうち，このシステムに追加することによって，二要素認証になる機能だけを全て挙げたものはどれか。

　a.A社の従業員証として本人に支給しているICカードを読み取る認証
　b.あらかじめシステムに登録しておいた本人しか知らない秘密の質問に対する答えを入力させる認証
　c.あらかじめシステムに登録しておいた本人の顔の特徴と，認証時にカメラで読み取った顔の特徴を照合する認証",,a,"a, b, c","a, c","b, c",3,"二要素認証とは、ICカードとパスワード、指紋とパスワードなどのように、利用者が知っている・持っている・有している情報のうち2種類の要素を組み合せて認証を行う方式です。
　・知っている
　ユーザーID、パスワード、ジェスチャー、PINコードなど
　・持っている
　ICカード、キャッシュカード、ワンタイムパスワードトークンなど
　・有している
　指紋、虹彩、顔、静脈その他の生体情報など
利用者IDとパスワードは""知っている""情報に該当するので、二要素認証になるのは""持っている""または""有している""情報による認証を組み合わせた場合です。
　a.正しい。ICカードは""持っている""情報に該当するので、二要素認証になります。
　b.誤り。秘密の質問に対する答えは""知っている""情報なので、二要素認証にはなりません。
　c.生体情報は""有している""情報に該当するので、二要素認証になります。",
262,テクノロジ系,関係データベースにおいて主キーを指定する目的はどれか。,,主キーに指定した属性(列)で，複数のレコード(行)を同時に特定できるようにする。,主キーに指定した属性(列)で，レコード(行)を一意に識別できるようにする。,主キーに指定した属性(列)に対し，検索条件を指定できるようにする。,主キーに指定した属性(列)を算術演算の対象として扱えるようにする。,2,"主キーは属性(列)内で一意(同じ値が存在しない)になるように決められた値で、主キーの値一つに対してそれに対応するレコード(行)が1つ存在するという関係が成り立つようになります。

通常は順番コード、区分コード、桁別コードなどの数値の形式をとり、複数の属性を組み合わせた複合キーの形をとることもあります。",
263,テクノロジ系,シングルサインオンの特徴として，適切なものはどれか。,,データの処理や保存などがサーバ側で行われ，端末内にデータが残らないので，情報漏えい対策として効果的である。,データを保存するときに，データは複数のディスクに自動的に分散配置されるので，可用性が高い。,パスワードに加えて指紋や虹彩による認証を行うので，機密性が高い。,利用者は最初に1回だけ認証を受ければ，許可されている複数のサービスを利用できるので，利便性が高い。,4,シングルサインオン(Single Sign On：SSO)は、ユーザー認証を一度受けるだけで許可された複数のサーバやアプリケーションへのアクセスについても認証する仕組みです。利用者にとって利便性が高い反面、確実なセキュリティ対策を実施しなければ不正アクセスを受ける脆弱性となってしまう恐れもあります。,
264,ストラテジ系,中堅家電メーカーA社では，自社の製品群に対する資金投資の優先度を検討するために，将来性と競争力によって製品をグループ分けしたい。このとき用いる分析手法として，最も適切なものはどれか。,,自社製品の価格と客層に関するクラスタ分析,自社製品の購入顧客に関するRFM分析,自社製品のシェアと市場成長率に関するPPM分析,自社製品の不具合の原因に関する主成分分析,3,"PPM(Products Portfolio Management)は、縦軸に市場成長率、横軸に市場占有率をとったマトリックス図を4つの象限に区分し、市場における製品(または事業やサービス)の位置付けを2つの観点で分類して経営資源の配分を検討する手法です。

設問には「将来性と競争力によって製品をグループ分け」とあります。将来性は市場成長率、競争力は市場シェアと言い換えることができるのでPPM分析が適切であるとわかります。したがって「3」が正解です。",264exp.png
265,テクノロジ系,文書作成ソフトがもつ機能である禁則処理が行われた例はどれか。,,改行後の先頭文字が，指定した文字数分だけ右へ移動した。,行頭に置こうとした句読点や閉じ括弧が，前の行の行末に移動した。,行頭の英字が，小文字から大文字に変換された。,文字列の文字が，指定した幅の中に等間隔に配置された。,2,"禁則処理とは、特に日本語の文書作成・組版において、行の最後や行の先頭にあると変な文字（禁則文字）がそこにきた場合、自動的に次の行や前の行に移動させることです。文書作成ソフトには文章を読みやすくする目的で禁則処理の機能が備わっていることが多いです。

禁則処理の一例です。
　・句読点（、。，．）、記号（!:;?）、小さい文字（っゃゅょ）、閉じカッコなどが行頭にこないようにする
　・記号（￥＄￡＠〒＃）、開きカッコなどが行末にこないようにする",
266,ストラテジ系,観光などで訪日した外国人が国内にもたらす経済効果を示す言葉として，最も適切なものはどれか。,,アウトソーシング,アウトバウンド需要,インキュベーター,インバウンド需要,4,"インバウンド需要は、海外から日本国内に訪れる人々の消費活動でもたらされる経済効果のことです。外国の人々が日本を旅行で訪れたり、日本の製品やサービスを購入するなどが例です。""インバウンド""は「外から内に向かう」という意味です。日本政府は、日本旅行にくる外国人をターゲットとしてクールジャパン戦略や観光立国推進などの戦略を掲げ、インバウンド需要の高付加価値化を推進しています。

アウトバウンド需要は、日本国内の人々が海外を訪れるときの消費活動でもたらされる経済効果のことです。海外旅行や海外製品の購入などが例です。""アウトバウンド""は「内から外に向かう」という意味です。",
267,テクノロジ系,次の“商品”表から，仕入先が“A社”で価格が140円以上の商品，及び仕入先が“B社”で価格が170円以下の商品を抽出した。得られた商品名だけを全て挙げたものはどれか。,267qa.png,ケーキ，イチゴ，コーヒー,ケーキ，イチゴ，ジュース,チョコレート，リンゴ，コーヒー,チョコレート，リンゴ，ジュース,3,"1つ目の検索条件である「仕入先がA社で価格が140円以上の商品」は、次の通りチョコレート，リンゴの2点です。

2つ目の検索条件である「仕入先がB社で価格が170円以下の商品」は、次の通りコーヒーのみです。

抽出する条件は第一条件及び第二条件(第一条件 OR 第二条件)なので、操作の結果得られる商品名は両方の抽出結果を合わせた「チョコレート，リンゴ，コーヒー」になります。",267exp(1).png;267exp(2).png
268,テクノロジ系,デュアルシステムに関する記述として，適切なものはどれか。,,1台のコンピュータに複数のマイクロプロセッサを搭載し，並列処理ができるシステムのことである。,2系統のコンピュータが，互いの処理結果を照合しながら同一処理を行うシステムのことである。,障害時に，予備のコンピュータに切り替えて処理を継続するシステムのことである。,複数のコンピュータを直列に接続して，機能を分担するシステムのことである。,2,"デュアルシステムは、フォールトトレラントシステムの実現方法のひとつで完全2系統（電源からデータを保存するハードディスクまで）のシステムで同じ処理を行い、結果を照合しながら実行していく構成をもつシステムです。

障害発生時には、問題のある側のシステムをメイン処理から切り離し、残された側のシステムのみで処理を続行するので、少しの時間も業務に影響を与えることなくシステムを継続稼働させられます。高い信頼性が得られる半面、高コストなので特に信頼性が重要とされる用途に使用されます。",268exp.png
